dataset,epoch,seed,method,role,report,amortized_ms_per_record,amortized_records_per_second,auc,auc_ci_high,auc_ci_low,calibrated_actual_fpr_at_10pct,calibrated_actual_fpr_at_10pct_ci_high,calibrated_actual_fpr_at_10pct_ci_low,calibrated_actual_fpr_at_1pct,calibrated_actual_fpr_at_1pct_ci_high,calibrated_actual_fpr_at_1pct_ci_low,calibrated_tpr_at_10pct,calibrated_tpr_at_10pct_ci_high,calibrated_tpr_at_10pct_ci_low,calibrated_tpr_at_1pct,calibrated_tpr_at_1pct_ci_high,calibrated_tpr_at_1pct_ci_low,calibration_seconds,draft_input_tokens,draft_input_tokens_per_record,draft_sequences,draft_sequences_per_record,execution_group,execution_group_seconds,generated_tokens,generated_tokens_per_record,n_calibration,n_test_member,n_test_nonmember,pauc_10_normalized,pauc_10_raw,peak_allocated_gpu_bytes,preparation_seconds,roc_actual_fpr_at_10pct,roc_actual_fpr_at_1pct,roc_tpr_at_10pct_fpr,roc_tpr_at_1pct_fpr,scoring_records_per_second,target_forward_calls,target_input_tokens,target_input_tokens_per_record,target_sequences,target_sequences_per_record,test_seconds,total_seconds
newstection,3,1919,samia,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1919/baseline/samia/REPORT.json,3152.1673808817573,0.31724203672213286,0.56068825,0.5784039375000001,0.5448175875,0.096,0.10969613024508282,0.08385284395816955,0.0025,0.005839153316432755,0.0010683087284139143,0.1345,0.15015574508427282,0.12024561647832303,0.003,0.006529915073935308,0.0013756299236301083,599.6707878169836,0,0.0,0,0.0,newstection/epoch3/seed1919/baseline/samia,,10351420,2587.855,200,2000,2000,0.06746624999999999,0.006746624999999999,24014273024,2.8763146894052625,0.1,0.01,0.141,0.0155,0.33316335280712217,134400,11894670,2973.6675,42000,10.5,12006.122421020642,12608.66952352703
newstection,3,1919,draft_auxiliary_distilled,main,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1919/draft_auxiliary_distilled/fixed/main_fixed_sparse_positive/REPORT.json,427.61181182868313,2.338569638017007,0.99926075,0.99962126875,0.99873785,0.077,0.08951151115448341,0.06611031084545657,0.0055,0.009822062751615332,0.003073897009543817,0.9995,0.9999117322692944,0.9971731374967338,0.973,0.9792476037585119,0.9649388695134226,74.10818654939067,2450965,612.74125,4600,1.15,newstection/epoch3/seed1919/draft_auxiliary_distilled/fixed,1710.4472473147325,0,0.0,200,2000,2000,0.9927025000000045,0.09927025000000045,21482157568,155.53215087600984,0.1,0.01,0.9995,0.9905,2.701229966774628,4600,2450965,612.74125,4600,1.15,1480.806909889332,1710.4472473147325
newstection,3,1919,draft_member_sft,main,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1919/draft_member_sft/fixed/main_fixed_sparse_positive/REPORT.json,432.93946902814787,2.309791718100399,0.99796025,0.9987126500000001,0.9970391749999999,0.073,0.08523779888478729,0.06239935949340271,0.0065,0.011089529172522494,0.0038025964940741515,0.9975,0.9989316912715861,0.9941608466835673,0.904,0.9161471560418305,0.8903038697549172,75.28072064672597,2450965,612.74125,4600,1.15,newstection/epoch3/seed1919/draft_member_sft/fixed,1731.7578761125915,0,0.0,200,2000,2000,0.9806549999999994,0.09806549999999994,21482157568,158.4347555108834,0.1,0.01,0.998,0.974,2.6701513923238784,4600,2450965,612.74125,4600,1.15,1498.042399954982,1731.7578761125915
newstection,3,1949,loss,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1949/baseline/loss/REPORT.json,75.85775721800746,13.182567435075914,0.8359395,0.84646713125,0.82270759375,0.1185,0.1334012273424777,0.10506147973311827,0.012,0.017793883870480226,0.008077154276022635,0.536,0.5577663266874318,0.5140956459083181,0.0605,0.0718150952495814,0.05086998931063991,14.082619806518778,0,0.0,0,0.0,newstection/epoch3/seed1949/baseline/loss,,0,0.0,200,2000,2000,0.22003750000000008,0.02200375000000001,17326012416,0.06674111273605376,0.1,0.01,0.486,0.056,13.827353901502658,4200,2235665,558.91625,4200,1.05,289.281667952775,303.43102887202986
newstection,3,1949,min_k_prob,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1949/baseline/min_k_prob/REPORT.json,76.47296643353184,13.07651640359959,0.881193,0.89056979375,0.8694408625000001,0.1035,0.11761886180623717,0.09090135668779638,0.008,0.012956077671536958,0.0049302968532159265,0.643,0.6637052633734896,0.6217464611040721,0.0605,0.0718150952495814,0.05086998931063991,14.512422832194716,0,0.0,0,0.0,newstection/epoch3/seed1949/baseline/min_k_prob,,0,0.0,200,2000,2000,0.3094600000000001,0.030946000000000015,17326012416,0.07041353511158377,0.1,0.01,0.63,0.066,13.73112261124984,4200,2235665,558.91625,4200,1.05,291.30902936682105,305.89186573412735
newstection,3,1949,min_k_pp,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1949/baseline/min_k_pp/REPORT.json,76.57226380502107,13.059559040155047,0.9835065,0.98779240625,0.9792710750000001,0.084,0.09696882187448214,0.0726261614635203,0.0155,0.021916645881830028,0.010940972933704062,0.98,0.9852782737987344,0.9728813608112625,0.6715,0.6917378313250164,0.6506046214575139,14.604687295504846,0,0.0,0,0.0,newstection/epoch3/seed1949/baseline/min_k_pp,,0,0.0,200,2000,2000,0.8531999999999998,0.08532,17326012416,0.06900027266237885,0.1,0.01,0.983,0.5205,13.716698239218136,4200,2235665,558.91625,4200,1.05,291.61536765191704,306.28905522008426
newstection,3,1949,recall,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1949/baseline/recall/REPORT.json,382.12061519775307,2.6169747462656137,0.9244975,0.932347875,0.91498078125,0.1025,0.11656379506401297,0.0899602575245831,0.022,0.0294037890865601,0.0164289081143177,0.735,0.7538781213611855,0.7152208664166256,0.2725,0.29243568850329554,0.25343656800967457,70.51032677444164,0,0.0,0,0.0,newstection/epoch3/seed1949/baseline/recall,,0,0.0,200,2000,2000,0.4348974999999998,0.04348974999999999,17386995712,0.06897554302122444,0.1,0.01,0.729,0.1665,2.743666461487107,8400,13660930,3415.2325,8400,2.1,1457.9031584735494,1528.4824607910123
newstection,3,1949,icp_mia,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1949/baseline/icp_mia/REPORT.json,701.1119044084626,1.426305834649482,0.9147685,0.9256438124999999,0.9045285,0.1005,0.11445248759594692,0.08807923318177419,0.0165,0.023080961113718216,0.01177282360725337,0.792,0.8092199874374513,0.773660456950297,0.23,0.24895064337602757,0.21208456215584898,133.43740895204246,0,0.0,0,0.0,newstection/epoch3/seed1949/baseline/icp_mia,,0,0.0,200,2000,2000,0.4987525,0.04987525,17408989696,0.1674204778391868,0.1,0.01,0.7915,0.1675,1.49765460463131,25200,24081437,6020.35925,25200,6.3,2670.8427882039687,2804.4476176338503
newstection,3,1949,petal,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1949/baseline/petal/REPORT.json,83.63367781523266,11.956905712185057,0.81250975,0.8241730375,0.798678225,0.129,0.1444048747285008,0.11501757435418881,0.0215,0.028833833739084404,0.016000780509074646,0.4875,0.5094091831243,0.4656387430577313,0.0785,0.09111175553010317,0.06750431532799306,14.50584937853273,0,0.0,0,0.0,newstection/epoch3/seed1949/baseline/petal,,0,0.0,200,2000,2000,0.1865199999999999,0.01865199999999999,17326012416,29.31271997152362,0.1,0.01,0.397,0.0585,13.759125907863389,4600,2449969,612.49225,4600,1.15,290.7161419108743,334.53471126093064
newstection,3,1949,sead,baseline,/home/mxd/lib/SD_MIA/artifacts/runs/audits/qwen_fixed_v1/newstection/epoch3/seed1949/baseline/sead/REPORT.json,80.49368280725321,12.423335162767469,0.8456635,0.85792328125,0.8329194,0.1015,0.11550833868916041,0.0890195479939982,0.009,0.014182040701612969,0.005700499728577407,0.519,0.5408398439036619,0.49708730829965053,0.053,0.06370338306364304,0.04401045720579706,15.31206835131161,0,0.0,0,0.0,newstection/epoch3/seed1949/baseline/sead,,0,0.0,200,2000,2000,0.24414999999999995,0.024414999999999996,17326012416,0.06648345093708485,0.1,0.01,0.516,0.055,13.046476989630818,4200,2235665,558.91625,4200,1.05,306.59617942676414,321.97473122901283
