dataset,epoch,method,role,n_seeds,amortized_ms_per_record_mean,amortized_ms_per_record_sd,amortized_records_per_second_mean,amortized_records_per_second_sd,auc_ci_high_mean,auc_ci_high_sd,auc_ci_low_mean,auc_ci_low_sd,auc_mean,auc_sd,calibrated_actual_fpr_at_10pct_ci_high_mean,calibrated_actual_fpr_at_10pct_ci_high_sd,calibrated_actual_fpr_at_10pct_ci_low_mean,calibrated_actual_fpr_at_10pct_ci_low_sd,calibrated_actual_fpr_at_10pct_mean,calibrated_actual_fpr_at_10pct_sd,calibrated_actual_fpr_at_1pct_ci_high_mean,calibrated_actual_fpr_at_1pct_ci_high_sd,calibrated_actual_fpr_at_1pct_ci_low_mean,calibrated_actual_fpr_at_1pct_ci_low_sd,calibrated_actual_fpr_at_1pct_mean,calibrated_actual_fpr_at_1pct_sd,calibrated_tpr_at_10pct_ci_high_mean,calibrated_tpr_at_10pct_ci_high_sd,calibrated_tpr_at_10pct_ci_low_mean,calibrated_tpr_at_10pct_ci_low_sd,calibrated_tpr_at_10pct_mean,calibrated_tpr_at_10pct_sd,calibrated_tpr_at_1pct_ci_high_mean,calibrated_tpr_at_1pct_ci_high_sd,calibrated_tpr_at_1pct_ci_low_mean,calibrated_tpr_at_1pct_ci_low_sd,calibrated_tpr_at_1pct_mean,calibrated_tpr_at_1pct_sd,calibration_seconds_mean,calibration_seconds_sd,draft_input_tokens_mean,draft_input_tokens_per_record_mean,draft_input_tokens_per_record_sd,draft_input_tokens_sd,draft_sequences_mean,draft_sequences_per_record_mean,draft_sequences_per_record_sd,draft_sequences_sd,execution_group_seconds_mean,execution_group_seconds_sd,generated_tokens_mean,generated_tokens_per_record_mean,generated_tokens_per_record_sd,generated_tokens_sd,n_calibration_mean,n_calibration_sd,n_test_member_mean,n_test_member_sd,n_test_nonmember_mean,n_test_nonmember_sd,pauc_10_normalized_mean,pauc_10_normalized_sd,pauc_10_raw_mean,pauc_10_raw_sd,peak_allocated_gpu_bytes_mean,peak_allocated_gpu_bytes_sd,preparation_seconds_mean,preparation_seconds_sd,roc_actual_fpr_at_10pct_mean,roc_actual_fpr_at_10pct_sd,roc_actual_fpr_at_1pct_mean,roc_actual_fpr_at_1pct_sd,roc_tpr_at_10pct_fpr_mean,roc_tpr_at_10pct_fpr_sd,roc_tpr_at_1pct_fpr_mean,roc_tpr_at_1pct_fpr_sd,scoring_records_per_second_mean,scoring_records_per_second_sd,target_forward_calls_mean,target_forward_calls_sd,target_input_tokens_mean,target_input_tokens_per_record_mean,target_input_tokens_per_record_sd,target_input_tokens_sd,target_sequences_mean,target_sequences_per_record_mean,target_sequences_per_record_sd,target_sequences_sd,test_seconds_mean,test_seconds_sd,total_seconds_mean,total_seconds_sd
newstection,1,loss,baseline,3,75.02642853942234,1.348188053908421,13.331481847821546,0.23751178332822623,0.6175080645833333,0.00474172505090416,0.5854956916666666,0.004365515175212792,0.6006988333333333,0.00446981406445881,0.11456473970257454,0.02326411952054216,0.08829967539271945,0.02074605814154726,0.10066666666666667,0.02204729764241716,0.01354746956485776,0.011761326443958454,0.006002376547759704,0.007355423308158335,0.008833333333333334,0.009569918146637062,0.17163128902640606,0.030105893677243284,0.1400241679152313,0.027760023185763334,0.15516666666666667,0.028988503468329187,0.024112272833707708,0.009962441913621856,0.01273767779270137,0.007094049008508463,0.017499999999999998,0.00854400374531753,13.98405246816886,0.22841423569384606,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,200,0.0,2000,0.0,2000,0.0,0.0726283333333333,0.0042391938600792305,0.0072628333333333295,0.0004239193860079228,17325886805.333332,231897.75696486013,0.07509454110792528,0.009426941933960356,0.1,0.0,0.01,0.0,0.1505,0.002645751311064593,0.017833333333333333,0.005107184482014853,13.986762910128613,0.25089157292569897,4200,0.0,2236873.6666666665,559.2184166666667,0.4679984196911002,1871.9936787642562,4200,1.05,0.0,0.0,286.0465671484126,5.17473532392921,300.10571415768936,5.392752215633684
newstection,1,min_k_prob,baseline,3,75.61674696582486,1.3362220128457865,13.227315111882495,0.23185942557921382,0.6408926270833334,0.004174778222806834,0.6094635374999999,0.0032596085851163093,0.624278,0.003913021682472508,0.11585724593549564,0.004990325353597928,0.08933602938280875,0.004443187162061013,0.10183333333333333,0.004725815626252605,0.012303497943870334,0.003262456991699737,0.004584793628163804,0.0020190245054792365,0.0075,0.002645751311064591,0.19347644552027432,0.006592582736138422,0.16009849543555044,0.006124002093741878,0.17616666666666667,0.00637050495120547,0.020905364012347796,0.004987647631723089,0.010288783215321716,0.0035011969708430486,0.014666666666666666,0.00425245027405769,14.379202045500278,0.2118989898049276,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,200,0.0,2000,0.0,2000,0.0,0.08029916666666667,0.007807604599576836,0.008029916666666668,0.0007807604599576836,17325886805.333332,231897.75696486013,0.08371209209629644,0.019924367208408664,0.1,0.0,0.01,0.0,0.17816666666666667,0.00908753725347705,0.018333333333333333,0.0037527767497325666,13.89162932567987,0.24639920312789032,4200,0.0,2236873.6666666665,559.2184166666667,0.4679984196911002,1871.9936787642562,4200,1.05,0.0,0.0,288.0040737257029,5.149292037969975,302.46698786329944,5.344888051383146
newstection,1,min_k_pp,baseline,3,75.70564603100259,1.310846027077969,13.211675383457317,0.22705681893062957,0.7466368958333333,0.0073271241931583755,0.7182092479166666,0.005688501599856949,0.7328140833333333,0.007201182413036999,0.1228045185203678,0.028386664967244367,0.09569652950085324,0.025537555793069853,0.1085,0.027013885318480205,0.013183280723235944,0.011652552281031703,0.005701176754235691,0.007470622488797413,0.0085,0.009578622030334008,0.33339804105578236,0.052983674741091426,0.29298624030983317,0.05129729464490651,0.31283333333333335,0.05224062914373575,0.036941777518629274,0.01709234945329385,0.022531386702738066,0.013400902481597959,0.028833333333333332,0.015275252316519466,14.400127570882129,0.20902974830356807,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,200,0.0,2000,0.0,2000,0.0,0.14588416666666668,0.01150884152872625,0.014588416666666668,0.001150884152872625,17325886805.333332,231897.75696486013,0.07136246981099248,0.0008177797420543416,0.1,0.0,0.01,0.0,0.29966666666666664,0.022137825849286426,0.028833333333333332,0.00505799696849784,13.87477951787923,0.2405802972705732,4200,0.0,2236873.6666666665,559.2184166666667,0.4679984196911002,1871.9936787642562,4200,1.05,0.0,0.0,288.35109408331726,5.037025588541801,302.82258412401035,5.243384108311876
newstection,1,recall,baseline,3,378.38755304024863,12.929381798760788,2.6448645303138614,0.09095045489831162,0.672731275,0.004299281230501836,0.6390504354166667,0.004308549554584489,0.6548108333333333,0.004254293877464664,0.11651256328236592,0.021072095315360372,0.09001148930623017,0.018813860505961746,0.10250000000000001,0.019981241202688082,0.018585462646168033,0.00034194655489571936,0.008616352770626492,0.0002342969065300246,0.012666666666666666,0.00028867513459481214,0.15636584406448553,0.02640723548524022,0.1260125129307353,0.0241809394496894,0.1405,0.02534265179494838,0.033182006199261455,0.0013046966210977342,0.019304577353074663,0.0010002772246052458,0.025333333333333333,0.0011547005383792505,72.020031881053,2.3565024924143465,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,200,0.0,2000,0.0,2000,0.0,0.07492583333333336,0.0031570499811269066,0.007492583333333336,0.0003157049981126905,17373587114.666668,21446761.370762285,0.08022088510915637,0.0027295013861705917,0.1,0.0,0.01,0.0,0.14016666666666666,0.02156579081168445,0.021666666666666667,0.0014433756729740636,2.7771682282613868,0.09571063028881105,8400,0.0,13481347.333333334,3370.3368333333333,72.48430133541558,289937.20534166245,8400,2.1,0.0,0.0,1441.4499593948324,49.361055512191776,1513.5502121609945,51.717527195043154
newstection,1,icp_mia,baseline,3,698.301928009411,12.753213150975851,1.432361538820425,0.025973540901514543,0.66887201875,0.008068780753165656,0.6360886395833333,0.00905400639021834,0.65194375,0.009078188761393966,0.12661085029219143,0.03578489363476465,0.09920947271563373,0.03209494555699167,0.11216666666666666,0.034004901607464375,0.011529118056381718,0.006180523965231541,0.004361090562933673,0.003340684182461832,0.007,0.004769696007084728,0.27069785256101453,0.10049314863073949,0.23358761425534108,0.0952301171971546,0.25166666666666665,0.09804888236656924,0.02365018114420608,0.0030599248093559836,0.012201686529484253,0.0022214448297121184,0.017,0.0026457513110645908,132.92812163115013,2.276454110172994,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,200,0.0,2000,0.0,2000,0.0,0.11364583333333335,0.015552761477735518,0.011364583333333336,0.001555276147773552,17408506368,830064.2786483467,0.18401115864980966,0.0049220424357981,0.1,0.0,0.01,0.0,0.22983333333333333,0.014682756326158017,0.0235,0.009260129588726069,1.5040396470812898,0.027365226749754258,25200,0.0,24064259.666666668,6016.064916666667,5.661113386148832,22644.45354459527,25200,6.3,0.0,0.0,2660.095579247844,48.74306350632392,2793.207712037644,51.012852603903404
newstection,1,petal,baseline,3,83.30236598917206,1.3974680375475692,12.006700665773582,0.20026805211125706,0.6081734270833333,0.005977341097798185,0.57492826875,0.006897574193704327,0.5913908333333333,0.007079433824172153,0.12125346726050296,0.022156548833022635,0.09425333190256183,0.019798671898162867,0.107,0.0210178495569837,0.014955406924789676,0.016471476147791184,0.007255993728411115,0.010943075483739198,0.010166666666666666,0.013732564703409677,0.16850428554202762,0.0309709945359589,0.13716267368329732,0.028449302325435223,0.15216666666666667,0.029767151918403838,0.024917099841517618,0.016375634485381645,0.013596322372756039,0.01210822186806229,0.018333333333333333,0.014268263150549663,14.464658551771814,0.18932796493389026,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,200,0.0,2000,0.0,2000,0.0,0.06912666666666668,0.0031595295667762586,0.0069126666666666685,0.0003159529566776255,17325886805.333332,231897.75696486013,29.045678944831405,0.5656226943297131,0.1,0.0,0.01,0.0,0.13966666666666666,0.004041451884327368,0.0205,0.005408326913195984,13.810008780934234,0.23045578052387417,4600,0.0,2449848,612.462,0.29553838583168973,1182.153543326754,4600,1.15,0.0,0.0,289.699126460085,4.865357957519873,333.20946395668824,5.589872150190277
newstection,1,sead,baseline,3,80.2011435731935,1.3953131538947232,12.471147675839392,0.2153383287999612,0.619156775,0.0041110063153067655,0.5881068583333333,0.004294479556403143,0.6035925833333333,0.0033219539838524564,0.11249390287848203,0.013482881171710794,0.08637818040593698,0.01200898548296971,0.09866666666666667,0.012770408502993685,0.014984627162161103,0.0017567753917144928,0.006228690538320938,0.0011244419154142324,0.009666666666666667,0.0014433756729740647,0.1761763374663201,0.017618491296967485,0.14412917173221307,0.016272269303917855,0.1595,0.016977926846349644,0.021713654029073885,0.002437371951756739,0.01081127046888729,0.00171798977050457,0.015333333333333334,0.0020816659994661335,15.260701539033713,0.2049037408637599,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,0,0.0,0.0,0.0,200,0.0,2000,0.0,2000,0.0,0.07589083333333335,0.0037140210127748832,0.007589083333333336,0.0003714021012774882,17325886805.333332,231897.75696486013,0.08080947247799486,0.011746669537262548,0.1,0.0,0.01,0.0,0.16483333333333333,0.0017559422921421246,0.016,0.0032787192621510004,13.097569515488866,0.22930135425443104,4200,0.0,2236873.6666666665,559.2184166666667,0.4679984196911002,1871.9936787642562,4200,1.05,0.0,0.0,305.4630632812623,5.388484144615615,320.804574292774,5.581252615578893
newstection,1,ws,baseline,3,2113.8454130226846,50.415233992085206,0.4732495391546204,0.011198738897622192,0.51095955,0.015410688383170123,0.4762160552083333,0.012613114355413872,0.49295875,0.01465513044338056,0.11493240671723806,0.020082359871014616,0.08859739701320177,0.017884260943403188,0.101,0.01901972660161023,0.02993325122304272,0.016673474770228618,0.01723022324812674,0.012671657718211974,0.02266666666666667,0.014699773240881417,0.11038124406016889,0.012548391030153518,0.08449850741337514,0.011119738626373322,0.09666666666666666,0.011856784274554938,0.02969139838838386,0.017493306762036764,0.017139381765212687,0.01306259560881095,0.0225,0.015305227865013966,401.67569970832363,9.19236057100427,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,2140539,535.1347499999999,0.706250088495612,2825.0003539822787,200,0.0,2000,0.0,2000,0.0,0.04982166666666667,0.001336577563530572,0.004982166666666667,0.00013365775635305711,17151284394.666666,3296578.6020038007,5.190136900598493,0.03151250717103809,0.1,0.0,0.01,0.0,0.09516666666666666,0.005008326400438911,0.009666666666666667,0.0015275252316519464,0.49717408780806055,0.011796014772101071,268800,0.0,2364948.3333333335,591.2370833333333,0.4797916431466288,1919.166572586479,8400,2.1,0.0,0.0,8048.5158154818155,192.4723953155804,8455.381652090737,201.66093596834006
newstection,1,rs,baseline,3,2123.4383156614786,44.06995870649495,0.47106940803852837,0.009763476510053756,0.517085246875,0.009997823930777153,0.48206557604166667,0.008743538639547653,0.49992420833333334,0.0082107986872979,0.10806669421255999,0.018371527075718458,0.08248803113253612,0.016332498739002558,0.0945,0.017385338650713712,0.01367198684305742,0.01059889196388977,0.006210553587132959,0.005752519824656235,0.009,0.00818535277187245,0.11002381161815507,0.014110302550790044,0.08419055122024313,0.012528137367277873,0.09633333333333334,0.013344786747390655,0.015951397622854455,0.014320161762297532,0.007923474618210913,0.008733412233526272,0.011,0.011532562594670795,404.98629342388205,7.408999116694763,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,2143038.6666666665,535.7596666666667,0.9251437838700288,3700.575135480069,200,0.0,2000,0.0,2000,0.0,0.05410458333333335,0.0023478781422453313,0.005410458333333336,0.0002347878142245331,17144871424,639959.8579411055,5.508239994601657,0.06240628259025483,0.1,0.0,0.01,0.0,0.1,0.0024999999999999953,0.012333333333333333,0.003617089069035118,0.49499409068255174,0.010340960726759198,268800,0.0,2365044.3333333335,591.2610833333333,0.4782129712098383,1912.8518848393185,8400,2.1,0.0,0.0,8083.25872922743,169.04454219908882,8493.753262645914,176.27983482597978
newstection,1,bt,baseline,3,3181.810582068613,75.67300153819177,0.3144044168297533,0.007439858486546923,0.524428328125,0.011680391849322503,0.488937665625,0.011188436665088695,0.5077822916666667,0.011785944141973051,0.1403837865208328,0.009198938139752925,0.11138669325767979,0.008326827356747417,0.12516666666666668,0.008779711460710616,0.02160734893555808,0.03410460288161403,0.013911824420559335,0.024095986722386227,0.016833333333333336,0.029156188594076104,0.14121085981539577,0.024624365369632563,0.11222309155098138,0.022370438353310023,0.126,0.023542514733987108,0.017413393202141386,0.026840458466641518,0.01045381084979897,0.018106531524566597,0.013,0.022516660498395406,606.1929170100484,16.431546191608213,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,2993878.3333333335,748.4695833333334,12.269383216805709,49077.53286722279,200,0.0,2000,0.0,2000,0.0,0.050466666666666694,0.007582197522541437,0.005046666666666669,0.0007582197522541437,17144871424,639959.8579411055,5.869707184843719,0.056674657110305234,0.1,0.0,0.0,0.0,0.104,0.016370705543744903,0.0,0.0,0.330286650787355,0.007765672961759014,403179,32.046840717924134,3507951,876.98775,0.6536973688183135,2614.7894752732964,12600,3.15,0.0,0.0,12115.179704079559,286.30734562121046,12727.242328274451,302.6920061527671
